,Year,AreaHa,Shape__Length,StartDate,Label,FireName
31012,2014,200000.0,2211,2014-11-01,2014-15 Wildfire,Cliff Drive
31018,2015,4610000.0,15339,2015-08-13,2015-16 Wildfire,Four Mile Creek
31019,2014,17950000.0,23347,2014-10-26,2014-15 Wildfire,Myall Creek
31021,2015,1510000.0,10998,2015-09-13,2015-16 Wildfire,"Arnglen, Stewarts Brook"
31022,2015,0.0,320,2015-08-01,2015-16 Wildfire,Awaba Bay
31023,2015,210000.0,2164,2015-10-06,2015-16 Wildfire,Neath
31024,2015,0.0,268,2015-10-08,2015-16 Wildfire,"Allandale Rd, Kearsley"
31025,2015,20000.0,729,2015-10-20,2015-16 Wildfire,Great Northern Road
31026,2015,0.0,354,2015-10-10,2015-16 Wildfire,Archery East
31034,2015,20000.0,870,2015-12-15,2015-16 Wildfire,"Killarney Gap Road, Rocky Creek"
31035,2015,4330000.0,13600,2015-12-13,2015-16 Wildfire,Sandstone
31036,2015,30000.0,731,2015-11-20,2015-16 Wildfire,Wheelbarrow Ridge Rd
31037,2015,0.0,288,2015-12-10,2015-16 Wildfire,Werong Creek
31038,2015,54510000.0,167521,2015-12-10,2015-16 Wildfire,Terraborra North
31039,2015,680000.0,5321,2015-12-11,2015-16 Wildfire,Little Jimmys Creek
31040,2015,0.0,284,2015-12-18,2015-16 Wildfire,Monundilla Range
31041,2015,30000.0,909,2015-12-19,2015-16 Wildfire,Mount Wambo
31042,2015,20000.0,649,2015-12-20,2015-16 Wildfire,Little Darkey Creek
31043,2015,640000.0,3810,2015-12-21,2015-16 Wildfire,Neath Road
31044,2015,0.0,254,2015-12-09,2015-16 Wildfire,Wheelbarrow Ridge Rd 2
31045,2015,200000.0,2075,2015-09-13,2015-16 Wildfire,Charleys Road
31046,2015,0.0,187,2015-10-19,2015-16 Wildfire,Hutchinson Rd Ben Bullen
31047,2015,10000.0,476,2015-12-19,2015-16 Wildfire,Ripple Fire
31048,2015,40000.0,1178,2015-10-20,2015-16 Wildfire,Racecourse Fire
31049,2015,1220000.0,5704,2015-11-20,2015-16 Wildfire,Numietta
31050,2015,890000.0,6955,2015-12-10,2015-16 Wildfire,Kerrabee
31051,2015,0.0,185,2015-12-18,2015-16 Wildfire,Dog Trap
31053,2015,0.0,31,2015-12-16,2015-16 Wildfire,Nullo East
31054,2015,0.0,31,2015-12-16,2015-16 Wildfire,Cedar Creek
31055,2015,0.0,31,2015-12-16,2015-16 Wildfire,Airly Mountain
31056,2015,0.0,31,2015-12-16,2015-16 Wildfire,Port Macquarie
31057,2015,0.0,31,2015-12-16,2015-16 Wildfire,Reedy Creek
31058,2015,0.0,31,2015-12-16,2015-16 Wildfire,Prince Regents
31060,2015,0.0,189,2015-12-06,2015-16 Wildfire,"Yachting Point, Blowering Dam"
31061,2015,0.0,37,2016-01-02,2015-16 Wildfire,Upper East Ournie Ck
31062,2015,1090000.0,4212,2016-01-13,2015-16 Wildfire,Blowering
31063,2015,0.0,140,2016-01-13,2015-16 Wildfire,Mt Hovell
31064,2015,40000.0,1325,2016-01-13,2015-16 Wildfire,Dinner Time Trail
31065,2015,120000.0,1778,2016-01-13,2015-16 Wildfire,Ugly Creek
31066,2015,2320000.0,8125,2015-12-16,2015-16 Wildfire,Granuaille Mountain
31067,2015,820000.0,4402,2015-12-11,2015-16 Wildfire,"Olympic Hwy, Henty"
31071,2015,520000.0,3409,2015-10-21,2015-16 Wildfire,Wooli Road Fire
31072,2015,2550000.0,9862,2015-10-01,2015-16 Wildfire,Marengo Falls
31073,2015,30000.0,1016,2015-10-12,2015-16 Wildfire,Little Plain
31074,2015,50000.0,1394,2015-09-10,2015-16 Wildfire,Roses Wildfire
31075,2015,0.0,309,2015-10-17,2015-16 Wildfire,"Waterfall Way, Bielsdown Hills"
31076,2015,0.0,125,2015-10-14,2015-16 Wildfire,Tysons Fire
31080,2015,0.0,228,2015-11-20,2015-16 Wildfire,Higgins Creek
31081,2015,0.0,44,2015-11-20,2015-16 Wildfire,"Quinns Lane, Worrigee"
31082,2015,0.0,31,2015-11-17,2015-16 Wildfire,"North Head Rd, Benandarah"
31083,2015,0.0,21,2015-11-23,2015-16 Wildfire,Bomaderry Creek RP
31084,2015,0.0,84,2015-11-23,2015-16 Wildfire,Bomaderry Creek RP
31085,2015,0.0,282,2015-08-18,2015-16 Wildfire,Bomaderry
31086,2015,0.0,193,2015-07-01,2015-16 Wildfire,Seven Mile NP
31088,2013,14850000.0,32619,2013-10-13,2013-14 Wildfire,Mt Tangory
31089,2015,81430000.0,64547,2016-01-13,2015-16 Wildfire,Old No1 Break Complex
31093,2015,40000.0,848,2016-01-31,2015-16 Wildfire,Mellong Range
31094,2015,20000.0,728,2016-02-15,2015-16 Wildfire,Daltons
31095,2015,0.0,371,2015-11-20,2015-16 Wildfire,Lilyvale Track Otford
31098,2015,0.0,97,2016-01-14,2015-16 Wildfire,Figure 8
31099,2015,3160000.0,9082,2015-12-11,2015-16 Wildfire,"(Princes Mtwy), Maddens Plains"
31102,2015,0.0,161,2015-12-10,2015-16 Wildfire,Bomaderry Creek Regional Park
31103,2015,0.0,162,2016-02-28,2015-16 Wildfire,Bittangabee Rd Green Cape
31104,2015,0.0,319,2016-02-28,2015-16 Wildfire,"Snowy Mountains Hwy, Talbingo"
31105,2015,0.0,41,2015-10-11,2015-16 Wildfire,Tinderry North
31106,2015,0.0,12,2015-11-10,2015-16 Wildfire,Bullock Yard Creek
31107,2015,0.0,316,2015-10-26,2015-16 Wildfire,Port Phillip Trail
31109,2015,0.0,55,2016-03-04,2015-16 Wildfire,Black Perry
31110,2015,10000.0,589,2016-03-04,2015-16 Wildfire,Mt Ginini
31111,2015,0.0,347,2016-03-06,2015-16 Wildfire,Centre Fire
31112,2015,0.0,289,2016-03-03,2015-16 Wildfire,Buddong
31113,2015,40000.0,775,2016-03-03,2015-16 Wildfire,"Horse Creek, Jingellic"
31114,2015,10000.0,581,2016-03-10,2015-16 Wildfire,Merambego Ridge
31115,2015,5540000.0,13393,2016-03-06,2015-16 Wildfire,Charcoal Gap
31116,2015,10000.0,439,2016-03-07,2015-16 Wildfire,Monument Track
31118,2015,33080000.0,30844,2016-03-15,2015-16 Wildfire,"Carinda Rd, The Marra"
31119,2015,70000.0,1514,2015-08-19,2015-16 Wildfire,Stoney Creek Fire
31136,2015,5200000.0,10676,2015-08-28,2015-16 Wildfire,Station 11
31137,2015,300000.0,2314,2015-10-04,2015-16 Wildfire,Old Bar Road
31138,2015,170000.0,2479,2015-10-05,2015-16 Wildfire,Gloucester Tops Road
